customer_id,first_name,last_name,email
CUST2001,Larry,Williams,larry.williams@outlook.com
CUST2002,Elizabeth,Sanchez,elizabeth.sanchez@gmail.com
CUST2003,Regina,Nichols,regina.nichols@yahoo.com
CUST2004,Raymond,Valencia,raymond.valencia@outlook.com
CUST2005,Kristin,Sanchez,kristin.sanchez@hotmail.com
CUST2006,Steven,Douglas,steven.douglas@icloud.com
CUST2007,Daniel,Holland,daniel.holland@outlook.com
CUST2008,Wendy,Long,wendy.long@hotmail.com
CUST2009,Laura,Webb,laura.webb@hotmail.com
CUST2010,Linda,Meyers,linda.meyers@gmail.com
CUST2011,Theresa,Davis,theresa.davis@gmail.com
CUST2012,Sonya,Villarreal,sonya.villarreal@yahoo.com
CUST2013,Ebony,Berger,ebony.berger@gmail.com
CUST2014,James,Hickman,james.hickman@gmail.com
CUST2015,Keith,Wright,keith.wright@outlook.com
CUST2016,Ronald,Edwards,ronald.edwards@hotmail.com
CUST2017,Adam,Graves,adam.graves@yahoo.com
CUST2018,Jeremy,Love,jeremy.love@outlook.com
CUST2019,Timothy,West,timothy.west@hotmail.com
CUST2020,Ricky,Pena,ricky.pena@hotmail.com
CUST2021,Tyler,Shepherd,tyler.shepherd@gmail.com
CUST2022,Jared,Rhodes,jared.rhodes@yahoo.com
CUST2023,Gina,Turner,gina.turner@hotmail.com
CUST2024,Jessica,Reynolds,jessica.reynolds@hotmail.com
CUST2025,Sandra,Evans,sandra.evans@hotmail.com
CUST2026,Denise,Lopez,denise.lopez@icloud.com
CUST2027,Elizabeth,Berry,elizabeth.berry@hotmail.com
CUST2028,Scott,Sanders,scott.sanders@hotmail.com
CUST2029,Samuel,Carter,samuel.carter@outlook.com
CUST2030,John,Nguyen,john.nguyen@hotmail.com
CUST2031,Ashley,Pratt,ashley.pratt@hotmail.com
CUST2032,Stacey,Tucker,stacey.tucker@icloud.com
CUST2033,Steven,Forbes,steven.forbes@outlook.com
CUST2034,Edward,Adams,edward.adams@icloud.com
CUST2035,Brianna,Barrera,brianna.barrera@gmail.com
CUST2036,Shannon,Murphy,shannon.murphy@outlook.com
CUST2037,Erik,Hines,erik.hines@yahoo.com
CUST2038,Lindsey,Brown,lindsey.brown@gmail.com
CUST2039,Anthony,Castillo,anthony.castillo@hotmail.com
CUST2040,Jose,Stokes,jose.stokes@gmail.com
CUST2041,Jesse,Davis,jesse.davis@icloud.com
CUST2042,Bruce,Hughes,bruce.hughes@gmail.com
CUST2043,Amy,Butler,amy.butler@icloud.com
CUST2044,Troy,Peterson,troy.peterson@icloud.com
CUST2045,Ryan,Terry,ryan.terry@icloud.com
CUST2046,Shirley,Clark,shirley.clark@hotmail.com
CUST2047,Martha,Chambers,martha.chambers@outlook.com
CUST2048,Daniel,Howell,daniel.howell@icloud.com
CUST2049,Donald,White,donald.white@outlook.com
CUST2050,Kevin,Jackson,kevin.jackson@hotmail.com
CUST2051,Aaron,Green,aaron.green@yahoo.com
CUST2052,Matthew,Fields,matthew.fields@outlook.com
CUST2053,Joshua,Bailey,joshua.bailey@gmail.com
CUST2054,Katrina,Middleton,katrina.middleton@yahoo.com
CUST2055,Molly,Edwards,molly.edwards@hotmail.com
CUST2056,Joshua,Simpson,joshua.simpson@gmail.com
CUST2057,Monique,Austin,monique.austin@outlook.com
CUST2058,Laurie,Lowery,laurie.lowery@outlook.com
